Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Sv_max,Sv_min,Sv_noise,NASC_noise,Height_mean,Depth_mean,Good_samples,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Alpha,Gain_constant,Noise_Sv_1m,Minimum_Sv_threshold_applied,Minimum_integration_threshold,Maximum_Sv_threshold_applied,Maximum_integration_threshold,Exclude_above_line_applied,Exclude_above_line_depth_mean,Exclude_below_line_applied,Bottom_offset,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Skewness,Kurtosis,Attack_angle,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Image_compactness,Corrected_mean_amplitude,Corrected_MVBS,Coefficient_of_variation,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,3D_school_volume,ABC,ABC_noise,Area_Backscatter_Strength,Species_Id,Species_name,Species_percent,Species_TS,Species_weight,Density_number,Density_weight,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean,Bad_data_no_data_samples,Beam_volume_sum,No_data_samples,Frequency,Region_notes,Region_detection_settings,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Samples_Below_Bottom_Exclusion,Samples_Above_Surface_Exclusion,Samples_In_Domain,Bad_data_empty_water_samples,Heave_source,Heave_min,Heave_max,Heave_mean,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
412,Region 412,Schools detected,278,-64.823046,7.584401,-56.020698,-69.993968,-973.088431,0,0.534237,20.793403,62,4382,4392,4387,6.582291,6.596166,6.589377,0,0,0,20110603, 17:00:27.8470,20110603, 17:00:37.8700,20110603, 17:00:32.8590,48.15382526,-122.6925079,48.15367065,-122.6927643,48.15374483,-122.6926369,69.907494,12.1.64.44173,3,20220802, 14:19:08.3630,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,28.267609,3.033088,87.805884,14.933463,4.58E-07,3.702872,14.8431,1.887416,27.582579,2.649088,85.667823,12.726756,45.888926,2.91E-07,-65.359207,157.209518,3.09E-07,3.85E-07,4.824213,1.76E-07,0,-67.54570533,0,Unassigned,100,-40,1,6035.474744,6035.474744,0.534237,17.793403,66.907494,3.75,0,15.156512,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,68.951746,65.951746,70.806018,67.806018,0,0,62,0,,0,0,0,48.348883,48.815619,48.54094,48.621052,50.45458,49.273362,21.148592,0.672568,0.983871,2.026692,0.493415
413,Region 413,Schools detected,278,-67.336688,17.763121,-58.518605,-69.995358,-963.317031,0,2.23201,50.569622,730,4584,4614,4599,6.86184,6.90216,6.881907,0,0,0,20110603, 17:03:50.3290,20110603, 17:04:20.4640,20110603, 17:04:05.4160,48.15055148,-122.6974303,48.15009803,-122.6981694,48.15033161,-122.6978062,76.939541,12.1.64.44173,3,20220802, 14:19:08.3630,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,77.362902,9.099264,656.206129,172.094217,1.49E-07,2.108283,10.0658,-0.382489,77.700491,8.715264,656.113306,165.550908,206.92657,1.78E-07,-67.505035,83.927045,2.17E-07,9.42E-08,167.113633,4.12E-07,0,-63.84972554,0,Unassigned,100,-40,1,14135.44275,14135.44275,2.23201,47.569622,73.939541,3.75,0,1275.407014,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,75.749372,72.749372,78.313861,75.313861,0,0,730,0,,0,0,0,20.845497,30.149285,24.387383,21.139485,31.336542,28.227664,50.513723,4.422411,0.835616,41.910933,0.02386
740,Region 740,Schools detected,279,-57.355376,237.843691,-50.516145,-69.913252,-968.977717,0,3.001493,29.489634,95,3689,3691,3690,4.254386,4.257516,4.255908,0,0,0,20110604, 16:06:36.3080,20110604, 16:06:38.3120,20110604, 16:06:37.3100,48.15160425,-122.6857418,48.15156877,-122.6857988,48.15158687,-122.6857693,55.11503,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,8.760367,5.023552,50.453577,26.07336,2.22E-06,1.816862,2.696575,6.739489,5.287606,4.639552,42.740056,14.534462,10.001413,1.96E-06,-57.068156,112.83997,6.31E-06,1.14E-06,23.921093,5.52E-06,0,-52.58200199,0,Unassigned,100,-40,1,189269.9952,189269.9952,3.001493,26.489634,52.11503,3.75,0,51.498876,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,54.978593,51.978593,55.263538,52.263538,0,0,95,0,,0,0,0,23.241232,24.822977,23.853601,25.012545,28.425363,27.139446,29.992865,1.197381,1,3.693312,0.27076
741,Region 741,Schools detected,279,-64.402065,12.898513,-57.570832,-69.934101,-976.014464,0,0.824621,16.157544,87,4348,4357,4352,5.077029,5.090565,5.081857,0,0,0,20110604, 16:17:45.3290,20110604, 16:17:56.3480,20110604, 16:17:49.3380,48.1500464,-122.6938992,48.15019887,-122.6936513,48.15010236,-122.693813,66.273009,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,31.783541,3.033088,86.284109,23.522237,3.08E-07,2.286417,5.858975,2.137521,31.180685,2.649088,84.310397,20.154562,28.065904,3.20E-07,-64.94615,96.343617,4.84E-07,2.48E-07,12.923067,2.99E-07,0,-65.23952179,0,Unassigned,100,-40,1,10264.31074,10264.31074,0.824621,13.157544,63.273009,3.75,0,11.634122,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,65.803917,62.803917,66.781397,63.781397,0,0,87,0,,0,0,0,48.968114,50.269016,49.614635,49.297197,51.795358,50.524561,16.114359,0.458598,0.988506,4.810583,0.207875
742,Region 742,Schools detected,279,-66.343258,7.901687,-62.013525,-69.980164,-972.076038,0,0.789867,22.559626,50,4400,4405,4402,5.152889,5.158347,5.155147,0,0,0,20110604, 16:18:46.4350,20110604, 16:18:51.4440,20110604, 16:18:48.4380,48.15088261,-122.6924877,48.15095068,-122.6923978,48.15091048,-122.69245,63.4361,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,11.925236,3.31744,52.163906,9.464688,1.34E-07,1.480039,1.761948,0.942762,11.554025,2.93344,50.653483,8.108617,25.180364,2.08E-07,-66.816342,64.306908,4.10E-08,7.69E-08,3.443999,1.83E-07,0,-67.36771996,0,Unassigned,100,-40,1,6287.962956,6287.962956,0.789867,19.559626,60.4361,3.75,0,14.776739,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,63.362496,60.362496,63.496234,60.496234,0,0,50,0,,0,0,0,39.217226,41.547872,40.278703,39.880714,42.400928,41.510895,22.585832,0.965179,1,3.574246,0.279779
743,Region 743,Schools detected,279,-57.880583,135.324732,-49.553004,-69.204971,-970.275855,0,1.927275,26.391448,61,4603,4605,4604,5.401904,5.404337,5.403103,0,0,0,20110604, 16:22:21.4110,20110604, 16:22:23.4160,20110604, 16:22:22.4130,48.1538197,-122.6881615,48.15384712,-122.6881171,48.15383395,-122.6881406,57.161315,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,7.213493,3.222656,42.775051,13.433393,2.24E-06,2.604132,7.115499,6.701843,4.122981,2.838656,35.826027,6.76317,15.102094,1.70E-06,-57.68725,131.788067,1.06E-05,2.22E-06,6.11503,3.14E-06,0,-55.03114659,0,Unassigned,100,-40,1,107688.0001,107688.0001,1.927275,23.391448,54.161315,3.75,0,25.743833,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,57.029734,54.029734,57.324129,54.324129,0,0,61,0,,0,0,0,29.154498,30.201601,29.691246,31.054657,32.276806,31.839683,26.611053,0.450528,1,2.016391,0.495935
744,Region 744,Schools detected,279,-59.272031,87.921518,-52.182301,-69.965767,-971.824625,0,1.725069,23.008798,91,4686,4690,4688,5.510551,5.515841,5.513163,0,0,0,20110604, 16:23:44.9220,20110604, 16:23:48.9510,20110604, 16:23:46.9260,48.15504945,-122.6862067,48.15511104,-122.6861127,48.15507906,-122.6861591,47.980292,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,12.250379,5.497472,81.034301,21.303577,1.47E-06,1.624163,2.051614,5.282524,10.127523,5.113472,76.020589,16.381705,28.073303,1.15E-06,-59.378846,127.022341,3.44E-06,1.37E-06,20.966281,2.04E-06,0,-56.90396657,0,Unassigned,100,-40,1,69965.72097,69965.72097,1.725069,20.008798,44.980292,3.75,0,28.236795,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,47.512991,44.512991,48.294381,45.294381,0,0,91,0,,0,0,0,21.907007,24.015373,23.151537,24.110157,27.720199,26.279409,22.92633,1.791392,1,3.423922,0.292063
745,Region 745,Schools detected,279,-60.344255,172.660279,-50.904698,-69.962702,-971.062187,0,4.336368,24.922555,183,5138,5141,5139,6.265192,6.269397,6.266593,0,0,0,20110604, 16:31:26.2450,20110604, 16:31:29.2510,20110604, 16:31:27.2470,48.15374798,-122.6927068,48.15370346,-122.6927876,48.15373351,-122.6927341,69.775122,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,10.382033,6.63488,138.096562,45.033444,1.34E-06,3.407179,13.347503,4.950604,8.227275,6.25088,133.019047,33.621484,41.879446,9.21E-07,-60.355415,145.029247,5.13E-06,6.97E-07,48.508743,4.01E-06,0,-53.97299396,0,Unassigned,100,-40,1,137398.6845,137398.6845,4.336368,21.922555,66.775122,3.75,0,68.181618,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,69.478268,66.478268,70.113844,67.113844,0,0,183,0,,0,0,0,41.71485,42.924445,42.107586,46.687892,48.098103,47.391794,25.36489,2.542249,0.961749,5.629578,0.177633
746,Region 746,Schools detected,279,-66.931064,27.246853,-59.177082,-69.998854,-963.116964,0,3.118394,51.361447,658,5219,5238,5228,6.407283,6.43865,6.42236,0,0,0,20110604, 16:32:54.4120,20110604, 16:33:13.4510,20110604, 16:33:03.4300,48.1520745,-122.695204,48.15171983,-122.6957765,48.15190066,-122.6954745,66.827425,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,61.093228,8.435776,639.87197,190.414699,1.67E-07,1.609111,4.50856,0.101512,61.00223,8.051776,638.921973,181.476231,179.005359,1.94E-07,-67.126549,86.279762,2.35E-07,1.08E-07,213.938513,6.32E-07,0,-61.99175478,0,Unassigned,100,-40,1,21682.35709,21682.35709,3.118394,48.361447,63.827425,3.75,0,1187.75358,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,66.593353,63.593353,67.396233,64.396233,0,0,658,0,,0,0,0,10.899601,15.2615,12.288625,13.363976,19.418915,17.899838,51.305752,3.889302,0.831307,37.139253,0.026926
747,Region 747,Schools detected,279,-65.444211,15.161743,-61.084451,-69.978487,-969.598015,0,1.232192,27.982875,52,5241,5244,5242,6.443709,6.448581,6.445289,0,0,0,20110604, 16:33:16.4560,20110604, 16:33:19.4610,20110604, 16:33:17.4580,48.15166351,-122.6958702,48.15161169,-122.6959635,48.15164666,-122.6959004,68.051236,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,11.949597,3.31744,67.525643,14.725158,1.76E-07,1.036225,0.224437,1.836505,11.052583,2.93344,64.963616,12.043276,27.885978,2.59E-07,-65.868682,67.806269,1.95E-07,9.10E-08,6.08398,3.52E-07,0,-64.537427,0,Unassigned,100,-40,1,12065.33181,12065.33181,1.232192,24.982875,65.051236,3.75,0,25.035238,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,67.909411,64.909411,68.269878,65.269878,0,0,52,0,,0,0,0,38.381096,40.218179,39.341076,40.19951,41.545155,40.928708,28.218887,0.786739,1,3.595379,0.278135
892,Region 892,Schools detected,279,-63.124931,40.801245,-49.507395,-69.995727,-958.424266,0,1.943903,73.181511,1169,33956,34012,33984,41.006545,41.070225,41.038563,0,0,0,20110605, 00:40:13.2890,20110605, 00:41:09.5250,20110605, 00:40:41.4560,48.15066139,-122.6979372,48.15143817,-122.6968627,48.1510584,-122.6974078,75.004575,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,119.917663,7.487936,558.208543,232.836461,8.56E-07,5.080491,37.689691,2.984384,116.104971,7.103936,549.815159,213.872805,112.478105,4.69E-07,-63.291519,182.560923,2.28E-06,8.96E-07,323.874194,9.47E-07,0,-60.23818417,0,Unassigned,100,-40,1,32468.59925,32468.59925,1.943903,70.181511,72.004575,3.75,0,4438.328758,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,72.570147,69.570147,76.947732,73.947732,0,0,1169,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,73.841468,2.060305,0.849444,27.130307,0.036859
893,Region 893,Schools detected,279,-65.787221,9.545495,-59.069318,-69.663843,-969.771865,0,0.839515,27.564344,62,34051,34057,34054,41.113212,41.120226,41.116723,0,0,0,20110605, 00:41:48.6010,20110605, 00:41:54.6150,20110605, 00:41:51.6090,48.1519303,-122.6960904,48.15201406,-122.6959689,48.15197236,-122.6960299,68.607684,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,15.120371,3.31744,76.912332,12.51696,1.99E-07,2.79562,9.907018,1.408213,14.442862,2.93344,74.789314,10.572162,42.102262,2.37E-07,-66.2436,83.85711,4.23E-07,1.28E-07,3.359383,2.21E-07,0,-66.54693369,0,Unassigned,100,-40,1,7596.063754,7596.063754,0.839515,24.564344,65.607684,3.75,0,28.860232,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,68.418887,65.418887,68.879374,65.879374,0,0,62,0,,0,0,0,39.37842,40.360739,40.036315,40.368284,42.69586,41.309129,27.680402,0.606733,1,3.765331,0.265581
894,Region 894,Schools detected,279,-60.671351,42.293976,-49.634514,-69.957479,-958.736312,0,1.145307,68.253228,145,34098,34109,34103,41.166645,41.181663,41.173058,0,0,0,20110605, 00:42:35.6990,20110605, 00:42:47.7210,20110605, 00:42:40.7080,48.15255692,-122.6951538,48.15275398,-122.6949249,48.15264385,-122.6950614,70.34553,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,29.758427,3.980928,169.397109,36.112086,1.66E-06,4.289106,21.35004,4.753913,24.092108,3.596928,157.296471,26.415865,74.535516,8.16E-07,-60.884827,203.591564,5.31E-06,2.34E-06,12.572202,9.81E-07,0,-60.08213315,0,Unassigned,100,-40,1,33656.47711,33656.47711,1.145307,65.253228,67.34553,3.75,0,475.783848,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,69.682787,66.682787,71.033074,68.033074,0,0,145,0,,0,0,0,0.210599,2.152966,1.170501,1.602688,3.642532,2.908208,67.760456,0.453055,0.986207,2.90506,0.344227
895,Region 895,Schools detected,279,-65.477262,8.642262,-58.615712,-69.996996,-964.015817,0,0.707721,44.891989,112,34989,35003,34996,42.10727,42.12349,42.115505,0,0,0,20110605, 00:57:31.8070,20110605, 00:57:45.8380,20110605, 00:57:38.8220,48.15481929,-122.6867182,48.15463186,-122.6870081,48.15472544,-122.6868676,57.490943,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,31.987748,3.033088,141.918179,22.649917,2.33E-07,2.159105,5.18216,1.549087,30.773945,2.649088,138.722571,19.031696,80.464981,2.51E-07,-65.995375,92.713351,3.13E-07,1.36E-07,5.623658,2.01E-07,0,-66.97864396,0,Unassigned,100,-40,1,6877.293739,6877.293739,0.707721,41.891989,54.490943,3.75,0,151.505917,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,55.292295,52.292295,60.052758,57.052758,0,0,112,0,,0,0,0,11.298215,14.44735,12.511109,11.582567,14.826486,13.528458,44.793316,0.790294,1,6.352706,0.157413
896,Region 896,Schools detected,279,-65.797209,14.564633,-58.733396,-69.986948,-959.881309,0,1.283892,63.758134,298,35240,35261,35250,42.375489,42.392371,42.383788,0,0,0,20110605, 01:01:43.9700,20110605, 01:02:05.1520,20110605, 01:01:54.0690,48.15174333,-122.6915183,48.15156366,-122.6918404,48.15165641,-122.6916787,66.160873,12.1.64.44173,3,20220802, 14:25:34.1230,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,32.841737,5.21312,196.514751,42.164914,1.98E-07,1.860425,5.14924,1.432803,31.247246,4.82912,192.557769,37.162688,79.397185,2.48E-07,-66.047389,79.747131,2.83E-07,1.13E-07,26.3912,3.38E-07,0,-64.7119228,0,Unassigned,100,-40,1,11590.1669,11590.1669,1.283892,60.758134,63.160873,3.75,0,847.909192,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,65.985037,62.985037,66.343874,63.343874,0,0,298,0,,0,0,0,0.005738,3.29821,1.245379,1.327531,5.172412,3.563279,63.804982,1.617246,0.932886,18.050039,0.055402
